timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], clocks.current.sm [MHz]
2026/06/17 12:40:22.477, 30.89 W, 78, 33 %, 1500 MHz
2026/06/17 12:40:23.490, 31.37 W, 78, 36 %, 1500 MHz
2026/06/17 12:40:24.507, 31.48 W, 78, 32 %, 1500 MHz
2026/06/17 12:40:25.520, 32.21 W, 78, 34 %, 1500 MHz
2026/06/17 12:40:26.535, 31.76 W, 78, 34 %, 1500 MHz
2026/06/17 12:40:27.548, 30.36 W, 78, 27 %, 1500 MHz
2026/06/17 12:40:28.563, 31.54 W, 78, 33 %, 1500 MHz
2026/06/17 12:40:29.567, 30.99 W, 78, 33 %, 1500 MHz
2026/06/17 12:40:30.579, 30.26 W, 78, 30 %, 1500 MHz
2026/06/17 12:40:31.594, 29.73 W, 78, 31 %, 1500 MHz
2026/06/17 12:40:32.607, 30.03 W, 78, 32 %, 1500 MHz
2026/06/17 12:40:33.622, 29.54 W, 78, 26 %, 1500 MHz
2026/06/17 12:40:34.637, 30.96 W, 78, 31 %, 1500 MHz
2026/06/17 12:40:35.649, 31.11 W, 78, 35 %, 1500 MHz
2026/06/17 12:40:36.659, 31.18 W, 78, 33 %, 1500 MHz
2026/06/17 12:40:37.671, 30.32 W, 78, 30 %, 1500 MHz
2026/06/17 12:40:38.687, 28.96 W, 78, 28 %, 1500 MHz
2026/06/17 12:40:39.700, 27.97 W, 78, 26 %, 1500 MHz
2026/06/17 12:40:40.711, 28.10 W, 78, 26 %, 1500 MHz
2026/06/17 12:40:41.724, 29.54 W, 78, 30 %, 1500 MHz
2026/06/17 12:40:42.738, 30.90 W, 78, 32 %, 1500 MHz
2026/06/17 12:40:43.755, 31.28 W, 78, 34 %, 1500 MHz
2026/06/17 12:40:44.769, 29.61 W, 78, 30 %, 1500 MHz
2026/06/17 12:40:45.782, 31.05 W, 78, 32 %, 1500 MHz
2026/06/17 12:40:46.797, 32.49 W, 78, 36 %, 1500 MHz
2026/06/17 12:40:47.813, 32.49 W, 78, 40 %, 1500 MHz
2026/06/17 12:40:48.832, 33.26 W, 78, 39 %, 1500 MHz
2026/06/17 12:40:49.844, 32.33 W, 78, 37 %, 1500 MHz
2026/06/17 12:40:50.859, 32.09 W, 78, 36 %, 1500 MHz
2026/06/17 12:40:51.873, 33.21 W, 78, 37 %, 1500 MHz
2026/06/17 12:40:52.889, 32.25 W, 79, 35 %, 1500 MHz
2026/06/17 12:40:53.908, 33.50 W, 78, 38 %, 1500 MHz
2026/06/17 12:40:54.921, 36.86 W, 79, 44 %, 1635 MHz
2026/06/17 12:40:55.931, 34.32 W, 79, 30 %, 1635 MHz
2026/06/17 12:40:56.938, 29.07 W, 78, 32 %, 1500 MHz
2026/06/17 12:40:57.949, 29.97 W, 79, 33 %, 1500 MHz
2026/06/17 12:40:58.958, 31.48 W, 78, 35 %, 1500 MHz
2026/06/17 12:40:59.965, 27.77 W, 78, 27 %, 1500 MHz
2026/06/17 12:41:00.968, 30.06 W, 78, 34 %, 1500 MHz
2026/06/17 12:41:01.987, 30.34 W, 78, 34 %, 1500 MHz
2026/06/17 12:41:02.992, 29.41 W, 78, 31 %, 1500 MHz
2026/06/17 12:41:03.998, 30.35 W, 78, 34 %, 1500 MHz
2026/06/17 12:41:05.012, 29.79 W, 78, 32 %, 1500 MHz
2026/06/17 12:41:06.022, 29.53 W, 78, 31 %, 1500 MHz
2026/06/17 12:41:07.038, 29.65 W, 78, 31 %, 1500 MHz
2026/06/17 12:41:08.053, 28.39 W, 78, 29 %, 1500 MHz
2026/06/17 12:41:09.066, 31.25 W, 79, 34 %, 1500 MHz
2026/06/17 12:41:10.080, 31.29 W, 78, 32 %, 1500 MHz
2026/06/17 12:41:11.098, 30.48 W, 78, 26 %, 1500 MHz
2026/06/17 12:41:12.102, 30.29 W, 79, 32 %, 1500 MHz
2026/06/17 12:41:13.115, 31.41 W, 78, 35 %, 1500 MHz
2026/06/17 12:41:14.123, 29.11 W, 78, 34 %, 1500 MHz
2026/06/17 12:41:15.135, 31.61 W, 79, 33 %, 1500 MHz
2026/06/17 12:41:16.148, 30.75 W, 78, 33 %, 1500 MHz
2026/06/17 12:41:17.160, 31.24 W, 79, 34 %, 1500 MHz
