timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], clocks.current.sm [MHz]
2026/06/22 13:58:15.467, 30.52 W, 81, 33 %, 1500 MHz
2026/06/22 13:58:16.480, 30.46 W, 81, 29 %, 1500 MHz
2026/06/22 13:58:17.486, 31.91 W, 81, 33 %, 1500 MHz
2026/06/22 13:58:18.502, 31.23 W, 81, 31 %, 1500 MHz
2026/06/22 13:58:19.512, 21.10 W, 81, 33 %, 1500 MHz
2026/06/22 13:58:20.524, 32.99 W, 82, 35 %, 1500 MHz
2026/06/22 13:58:21.531, 33.08 W, 81, 31 %, 1500 MHz
2026/06/22 13:58:22.546, 32.72 W, 81, 35 %, 1500 MHz
2026/06/22 13:58:23.557, 31.65 W, 81, 34 %, 1500 MHz
2026/06/22 13:58:24.568, 32.17 W, 81, 26 %, 1500 MHz
2026/06/22 13:58:25.583, 33.10 W, 82, 34 %, 1500 MHz
2026/06/22 13:58:26.598, 30.89 W, 81, 35 %, 1500 MHz
2026/06/22 13:58:27.611, 30.88 W, 81, 25 %, 1500 MHz
2026/06/22 13:58:28.624, 31.45 W, 81, 32 %, 1500 MHz
2026/06/22 13:58:29.634, 31.96 W, 81, 33 %, 1500 MHz
2026/06/22 13:58:30.646, 31.41 W, 81, 27 %, 1500 MHz
2026/06/22 13:58:31.655, 32.22 W, 81, 33 %, 1500 MHz
2026/06/22 13:58:32.663, 31.72 W, 81, 34 %, 1500 MHz
2026/06/22 13:58:33.677, 31.41 W, 81, 29 %, 1500 MHz
2026/06/22 13:58:34.691, 31.98 W, 81, 33 %, 1500 MHz
2026/06/22 13:58:35.705, 32.02 W, 81, 34 %, 1500 MHz
2026/06/22 13:58:36.716, 31.07 W, 81, 26 %, 1500 MHz
2026/06/22 13:58:37.729, 31.50 W, 81, 32 %, 1500 MHz
2026/06/22 13:58:38.741, 30.78 W, 81, 30 %, 1500 MHz
2026/06/22 13:58:39.757, 30.67 W, 81, 26 %, 1500 MHz
2026/06/22 13:58:40.766, 31.10 W, 81, 32 %, 1500 MHz
2026/06/22 13:58:41.782, 30.71 W, 81, 31 %, 1500 MHz
2026/06/22 13:58:42.804, 30.38 W, 81, 28 %, 1500 MHz
2026/06/22 13:58:43.824, 31.08 W, 81, 31 %, 1500 MHz
2026/06/22 13:58:44.836, 31.74 W, 82, 33 %, 1500 MHz
2026/06/22 13:58:45.849, 32.92 W, 81, 36 %, 1500 MHz
2026/06/22 13:58:46.862, 31.94 W, 81, 33 %, 1500 MHz
2026/06/22 13:58:47.879, 32.88 W, 82, 34 %, 1500 MHz
2026/06/22 13:58:48.892, 32.08 W, 82, 34 %, 1500 MHz
2026/06/22 13:58:49.907, 30.75 W, 81, 32 %, 1500 MHz
2026/06/22 13:58:50.920, 31.04 W, 81, 31 %, 1500 MHz
2026/06/22 13:58:51.935, 31.14 W, 81, 32 %, 1500 MHz
2026/06/22 13:58:52.948, 31.21 W, 82, 27 %, 1500 MHz
2026/06/22 13:58:53.957, 30.20 W, 81, 28 %, 1500 MHz
2026/06/22 13:58:54.966, 32.40 W, 82, 35 %, 1500 MHz
2026/06/22 13:58:55.978, 29.17 W, 81, 23 %, 1500 MHz
2026/06/22 13:58:56.990, 31.94 W, 81, 33 %, 1500 MHz
2026/06/22 13:58:58.002, 30.33 W, 81, 26 %, 1500 MHz
2026/06/22 13:58:59.013, 31.60 W, 82, 34 %, 1500 MHz
2026/06/22 13:59:00.022, 30.48 W, 81, 32 %, 1500 MHz
2026/06/22 13:59:01.032, 31.95 W, 82, 33 %, 1500 MHz
2026/06/22 13:59:02.036, 31.79 W, 81, 32 %, 1500 MHz
2026/06/22 13:59:03.049, 30.56 W, 81, 32 %, 1500 MHz
2026/06/22 13:59:04.064, 31.25 W, 82, 29 %, 1500 MHz
2026/06/22 13:59:05.074, 31.15 W, 82, 32 %, 1500 MHz
2026/06/22 13:59:06.083, 30.33 W, 82, 29 %, 1500 MHz
2026/06/22 13:59:07.095, 31.63 W, 81, 33 %, 1500 MHz
2026/06/22 13:59:08.105, 30.68 W, 81, 32 %, 1500 MHz
2026/06/22 13:59:09.112, 30.63 W, 82, 27 %, 1500 MHz
2026/06/22 13:59:10.125, 30.82 W, 81, 29 %, 1500 MHz
2026/06/22 13:59:11.139, 32.08 W, 82, 34 %, 1500 MHz
2026/06/22 13:59:12.154, 31.58 W, 82, 26 %, 1500 MHz
2026/06/22 13:59:13.169, 30.16 W, 81, 33 %, 1500 MHz
2026/06/22 13:59:14.181, 31.94 W, 82, 35 %, 1500 MHz
2026/06/22 13:59:15.197, 32.93 W, 82, 28 %, 1500 MHz
2026/06/22 13:59:16.210, 32.72 W, 82, 33 %, 1500 MHz
2026/06/22 13:59:17.218, 32.86 W, 82, 36 %, 1500 MHz
2026/06/22 13:59:18.229, 31.65 W, 82, 26 %, 1500 MHz
2026/06/22 13:59:19.242, 33.00 W, 82, 36 %, 1500 MHz
2026/06/22 13:59:20.251, 32.63 W, 82, 37 %, 1500 MHz
2026/06/22 13:59:21.261, 32.18 W, 82, 38 %, 1500 MHz
2026/06/22 13:59:22.270, 33.28 W, 82, 35 %, 1500 MHz
2026/06/22 13:59:23.284, 34.08 W, 82, 37 %, 1500 MHz
2026/06/22 13:59:24.296, 32.63 W, 82, 30 %, 1500 MHz
2026/06/22 13:59:25.312, 32.39 W, 82, 34 %, 1500 MHz
2026/06/22 13:59:26.325, 32.46 W, 82, 33 %, 1500 MHz
2026/06/22 13:59:27.341, 28.22 W, 81, 23 %, 1500 MHz
2026/06/22 13:59:28.354, 30.98 W, 82, 32 %, 1500 MHz
2026/06/22 13:59:29.369, 30.93 W, 82, 31 %, 1500 MHz
2026/06/22 13:59:30.380, 30.24 W, 81, 32 %, 1500 MHz
2026/06/22 13:59:31.395, 31.40 W, 82, 31 %, 1500 MHz
2026/06/22 13:59:32.399, 31.20 W, 82, 33 %, 1500 MHz
2026/06/22 13:59:33.413, 31.47 W, 82, 33 %, 1500 MHz
2026/06/22 13:59:34.427, 31.25 W, 82, 31 %, 1500 MHz
2026/06/22 13:59:35.443, 30.82 W, 82, 30 %, 1500 MHz
2026/06/22 13:59:36.454, 31.60 W, 82, 33 %, 1500 MHz
2026/06/22 13:59:37.466, 32.14 W, 82, 34 %, 1500 MHz
2026/06/22 13:59:38.478, 31.78 W, 82, 32 %, 1500 MHz
2026/06/22 13:59:39.490, 30.15 W, 82, 30 %, 1500 MHz
2026/06/22 13:59:40.501, 30.08 W, 82, 28 %, 1500 MHz
2026/06/22 13:59:41.516, 30.56 W, 82, 31 %, 1500 MHz
2026/06/22 13:59:42.527, 30.37 W, 82, 24 %, 1500 MHz
2026/06/22 13:59:43.539, 30.21 W, 82, 28 %, 1500 MHz
2026/06/22 13:59:44.557, 30.32 W, 82, 28 %, 1500 MHz
