timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], clocks.current.sm [MHz]
2026/06/18 15:56:40.482, 30.08 W, 71, 35 %, 1500 MHz
2026/06/18 15:56:41.493, 29.60 W, 71, 27 %, 1500 MHz
2026/06/18 15:56:42.512, 30.96 W, 71, 38 %, 1500 MHz
2026/06/18 15:56:43.527, 30.68 W, 71, 37 %, 1500 MHz
2026/06/18 15:56:44.539, 29.64 W, 71, 28 %, 1500 MHz
2026/06/18 15:56:45.550, 30.33 W, 71, 34 %, 1507 MHz
2026/06/18 15:56:46.570, 29.90 W, 71, 36 %, 1507 MHz
2026/06/18 15:56:47.583, 30.63 W, 71, 38 %, 1560 MHz
2026/06/18 15:56:48.601, 32.56 W, 72, 38 %, 1590 MHz
2026/06/18 15:56:49.615, 33.34 W, 72, 38 %, 1590 MHz
2026/06/18 15:56:50.634, 31.40 W, 71, 38 %, 1500 MHz
2026/06/18 15:56:51.648, 29.09 W, 71, 36 %, 1500 MHz
2026/06/18 15:56:52.665, 30.03 W, 72, 37 %, 1500 MHz
2026/06/18 15:56:53.676, 31.10 W, 71, 40 %, 1515 MHz
2026/06/18 15:56:54.689, 30.38 W, 72, 38 %, 1515 MHz
2026/06/18 15:56:55.704, 30.98 W, 72, 39 %, 1500 MHz
2026/06/18 15:56:56.718, 31.25 W, 71, 39 %, 1500 MHz
2026/06/18 15:56:57.732, 30.09 W, 72, 38 %, 1500 MHz
2026/06/18 15:56:58.749, 31.01 W, 72, 38 %, 1500 MHz
2026/06/18 15:56:59.767, 31.05 W, 71, 39 %, 1500 MHz
2026/06/18 15:57:00.783, 30.26 W, 72, 37 %, 1500 MHz
2026/06/18 15:57:01.800, 31.36 W, 71, 38 %, 1522 MHz
2026/06/18 15:57:02.809, 31.62 W, 71, 39 %, 1522 MHz
2026/06/18 15:57:03.820, 30.69 W, 72, 40 %, 1500 MHz
2026/06/18 15:57:04.834, 31.49 W, 71, 39 %, 1500 MHz
2026/06/18 15:57:05.853, 30.98 W, 71, 37 %, 1500 MHz
2026/06/18 15:57:06.867, 30.10 W, 71, 35 %, 1500 MHz
2026/06/18 15:57:07.877, 30.47 W, 72, 38 %, 1500 MHz
2026/06/18 15:57:08.889, 29.87 W, 71, 37 %, 1500 MHz
2026/06/18 15:57:09.901, 29.22 W, 72, 36 %, 1500 MHz
2026/06/18 15:57:10.914, 30.80 W, 71, 36 %, 1500 MHz
2026/06/18 15:57:11.924, 30.55 W, 71, 32 %, 1500 MHz
2026/06/18 15:57:12.945, 30.81 W, 72, 38 %, 1530 MHz
2026/06/18 15:57:13.962, 32.24 W, 72, 40 %, 1530 MHz
2026/06/18 15:57:14.977, 31.82 W, 71, 33 %, 1545 MHz
